AnimalID,features_values_dog,gp1,gp2
A677577,Queensland Heeler/Shetland Sheepdog,Herding,Herding
A713754,Catahoula Mix,Mix,Herding
A703631,Labrador Retriever Mix,Mix,Sporting
A676209,Labrador Retriever Mix,Mix,Sporting
A667508,Chihuahua Shorthair Mix,Mix,Toy
A676056,American Pit Bull Terrier Mix,Unknown,Mix
A667963,Dachshund Longhair Mix,Mix,Hound
A672065,German Shepherd Mix,Mix,Herding
A688852,Labrador Retriever Mix,Mix,Sporting
A670949,Doberman Pinsch Mix,Mix,Working
A690480,Pointer Mix,Mix,Sporting
A691636,Dachshund/Jack Russell Terrier,Unknown,Hound
A678482,Miniature Poodle/Miniature Schnauzer,Non-Sporting,Terrier
A687785,Whippet Mix,Mix,Hound
A716839,Australian Shepherd Mix,Mix,Herding
A718547,Labrador Retriever Mix,Mix,Sporting
A694408,Pit Bull Mix,Mix,Pit Bull
A675549,Chihuahua Shorthair Mix,Mix,Toy
A719876,Rat Terrier Mix,Mix,Terrier
A676626,English Pointer Mix,Unknown,Mix
A666478,Miniature Schnauzer/Yorkshire Terrier,Toy,Terrier
A683507,Cairn Terrier Mix,Mix,Terrier
A487470,Labrador Retriever/Pit Bull,Sporting,Pit Bull
A668260,Great Dane,Working,Working
A716964,Chihuahua Shorthair Mix,Mix,Toy
A701029,Chesa Bay Retr,Unknown,Unknown
A668506,German Shepherd,Herding,Herding
A701898,Chihuahua Shorthair Mix,Mix,Toy
A691605,Plott Hound Mix,Mix,Hound
A705111,Chihuahua Shorthair Mix,Mix,Toy
A715741,Chow Chow Mix,Non-Sporting,Mix
A668122,English Pointer,Unknown,Unknown
A664842,Pit Bull Mix,Mix,Pit Bull
A709067,Boxer Mix,Mix,Working
A608918,Basset Hound/Labrador Retriever,Sporting,Hound
A651596,Labrador Retriever Mix,Mix,Sporting
A720190,Airedale Terrier Mix,Mix,Terrier
A676609,Labrador Retriever/Chow Chow,Non-Sporting,Sporting
A693272,Beagle/German Shepherd,Herding,Hound
A672758,Chihuahua Shorthair/Rat Terrier,Toy,Terrier
A658690,Pit Bull Mix,Mix,Pit Bull
A708390,Flat Coat Retriever Mix,Mix,Sporting
A703383,Cocker Spaniel,Sporting,Sporting
A699816,Chihuahua Shorthair Mix,Mix,Toy
A625690,Rat Terrier Mix,Mix,Terrier
A686406,Border Terrier/Chihuahua Shorthair,Toy,Terrier
A710318,Pit Bull Mix,Mix,Pit Bull
A698972,Chihuahua Shorthair Mix,Mix,Toy
A683309,Pit Bull Mix,Mix,Pit Bull
A640316,Chihuahua Longhair Mix,Mix,Toy
A682760,Jack Russell Terrier/Dachshund,Unknown,Hound
A588218,German Shepherd,Herding,Herding
A669795,Rottweiler Mix,Mix,Working
A674448,Siberian Husky Mix,Mix,Working
A672467,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Herding,Herding
A720860,Chihuahua Shorthair Mix,Mix,Toy
A701337,Cairn Terrier Mix,Mix,Terrier
A699819,Chihuahua Shorthair Mix,Mix,Toy
A674638,Labrador Retriever Mix,Mix,Sporting
A718743,Shih Tzu,Toy,Toy
A714820,Plott Hound Mix,Mix,Hound
A667613,Australian Shepherd Mix,Mix,Herding
A696059,Chihuahua Shorthair Mix,Mix,Toy
A676494,Labrador Retriever/Border Collie,Sporting,Herding
A599155,Chihuahua Shorthair Mix,Mix,Toy
A691345,Australian Cattle Dog Mix,Mix,Herding
A674659,Labrador Retriever/Great Dane,Sporting,Working
A683609,Dachshund Mix,Mix,Hound
A695710,Boxer Mix,Mix,Working
A713063,Labrador Retriever Mix,Mix,Sporting
A667520,Shih Tzu/Miniature Poodle,Non-Sporting,Toy
A716488,Pit Bull Mix,Mix,Pit Bull
A667537,Australian Cattle Dog Mix,Mix,Herding
A684664,Chihuahua Shorthair Mix,Mix,Toy
A691531,Australian Cattle Dog Mix,Mix,Herding
A703630,German Shepherd Mix,Mix,Herding
A696247,Pointer Mix,Mix,Sporting
A678185,Miniature Poodle Mix,Non-Sporting,Mix
A687055,Collie Smooth/Chow Chow,Non-Sporting,Herding
A696819,Cocker Spaniel Mix,Mix,Sporting
A671201,Chihuahua Shorthair Mix,Mix,Toy
A715573,Labrador Retriever Mix,Mix,Sporting
A669510,Rottweiler/Labrador Retriever,Sporting,Working
A697892,Chihuahua Shorthair Mix,Mix,Toy
A678958,Boxer Mix,Mix,Working
A671079,Chihuahua Shorthair Mix,Mix,Toy
A693999,Rat Terrier Mix,Mix,Terrier
A691614,German Shepherd/Siberian Husky,Herding,Working
A703781,Dachshund,Hound,Hound
A668803,Border Collie/Labrador Retriever,Herding,Sporting
A677885,Pit Bull Mix,Mix,Pit Bull
A675622,Collie Smooth/Labrador Retriever,Herding,Sporting
A686319,Plott Hound/Rhod Ridgeback,Hound,Hound
A671251,Pit Bull Mix,Mix,Pit Bull
A715812,Chihuahua Shorthair Mix,Mix,Toy
A681003,Pointer/Labrador Retriever,Sporting,Sporting
A715346,Anatol Shepherd/Great Pyrenees,Mix,Herding
A679956,Anatol Shepherd,Mix,Herding
A695950,Pit Bull Mix,Mix,Pit Bull
A694278,Great Dane,Working,Working
A686918,Australian Cattle Dog Mix,Mix,Herding
A711807,Chinese Sharpei/Australian Cattle Dog,Non-Sporting,Herding
A677157,Labrador Retriever Mix,Mix,Sporting
A697921,Flat Coat Retriever Mix,Mix,Sporting
A686691,Labrador Retriever Mix,Mix,Sporting
A698117,Labrador Retriever Mix,Mix,Sporting
A656110,Rat Terrier Mix,Mix,Terrier
A678099,Akita/Pit Bull,Pit Bull,Working
A717989,American Bulldog Mix,Non-Sporting,Mix
A673784,Labrador Retriever Mix,Mix,Sporting
A671889,Chihuahua Shorthair Mix,Mix,Toy
A697627,Pointer/Labrador Retriever,Sporting,Sporting
A685945,Chihuahua Shorthair Mix,Mix,Toy
A715735,Labrador Retriever,Sporting,Sporting
A672263,Chihuahua Shorthair/Rat Terrier,Toy,Terrier
A672744,Rottweiler Mix,Mix,Working
A696609,Labrador Retriever,Sporting,Sporting
A714481,Boxer Mix,Mix,Working
A689596,Jack Russell Terrier Mix,Unknown,Mix
A714546,Pit Bull/Dogue De Bordeaux,Pit Bull,Working
A671352,Labrador Retriever/Chow Chow,Non-Sporting,Sporting
A695943,Bernese Mountain Dog/Rottweiler,Working,Working
A682535,Plott Hound Mix,Mix,Hound
A713263,English Bulldog,Non-Sporting,Non-Sporting
A681679,Pit Bull Mix,Mix,Pit Bull
A678536,Chihuahua Shorthair Mix,Mix,Toy
A718585,Labrador Retriever Mix,Mix,Sporting
A543073,Chihuahua Shorthair,Toy,Toy
A697959,Pit Bull Mix,Mix,Pit Bull
A715378,Pointer Mix,Mix,Sporting
A697281,Chihuahua Longhair/Italian Greyhound,Toy,Toy
A681576,Labrador Retriever/Blue Lacy,Sporting,Herding
A716400,Yorkshire Terrier Mix,Mix,Toy
A677460,Pit Bull Mix,Mix,Pit Bull
A675049,Labrador Retriever Mix,Mix,Sporting
A660046,American Staffordshire Terrier Mix,Mix,Terrier
A660910,Dachshund/Catahoula,Herding,Hound
A686377,Dachshund Wirehair Mix,Mix,Hound
A695654,Labrador Retriever Mix,Mix,Sporting
A680506,Chihuahua Shorthair Mix,Mix,Toy
A650694,Blue Lacy/Pit Bull,Herding,Pit Bull
A698953,Miniature Poodle Mix,Non-Sporting,Mix
A696584,Dachshund Mix,Mix,Hound
A690020,Boxer Mix,Mix,Working
A663346,Pit Bull Mix,Mix,Pit Bull
A665221,Australian Cattle Dog Mix,Mix,Herding
A667366,Chihuahua Shorthair Mix,Mix,Toy
A657652,Labrador Retriever/Chinese Sharpei,Non-Sporting,Sporting
A611032,Basset Hound,Hound,Hound
A707464,Pit Bull Mix,Mix,Pit Bull
A643703,Cocker Spaniel Mix,Mix,Sporting
A668595,Chihuahua Shorthair Mix,Mix,Toy
A713418,Australian Cattle Dog Mix,Mix,Herding
A711562,Dachshund/Chihuahua Shorthair,Toy,Hound
A716766,Cocker Spaniel Mix,Mix,Sporting
A616576,Blue Lacy/Collie Smooth,Herding,Herding
A663819,Pit Bull Mix,Mix,Pit Bull
A713084,Miniature Poodle Mix,Non-Sporting,Mix
A699468,Labrador Retriever Mix,Mix,Sporting
A700335,Pit Bull Mix,Mix,Pit Bull
A653055,Black/Tan Hound Mix,Mix,Hound
A717176,Labrador Retriever Mix,Mix,Sporting
A707573,Chihuahua Shorthair Mix,Mix,Toy
A690543,Pit Bull Mix,Mix,Pit Bull
A704459,Norfolk Terrier/Border Terrier,Terrier,Terrier
A675640,Border Collie Mix,Mix,Herding
A694435,German Shepherd Mix,Mix,Herding
A668653,Chihuahua Shorthair Mix,Mix,Toy
A705804,Chihuahua Shorthair Mix,Mix,Toy
A674264,Jack Russell Terrier Mix,Unknown,Mix
A510475,Pit Bull Mix,Mix,Pit Bull
A641103,Siberian Husky,Working,Working
A660275,Scottish Terrier/Cairn Terrier,Terrier,Terrier
A717706,Labrador Retriever Mix,Mix,Sporting
A698495,Chihuahua Shorthair Mix,Mix,Toy
A686675,Pit Bull Mix,Mix,Pit Bull
A667942,Labrador Retriever Mix,Mix,Sporting
A687003,Chihuahua Longhair Mix,Mix,Toy
A711255,Chihuahua Shorthair Mix,Mix,Toy
A680426,Labrador Retriever Mix,Mix,Sporting
A697537,Pit Bull Mix,Mix,Pit Bull
A695905,Border Collie Mix,Mix,Herding
A705731,Pit Bull Mix,Mix,Pit Bull
A700025,Yorkshire Terrier Mix,Mix,Toy
A624771,American Bulldog Mix,Non-Sporting,Mix
A526641,Boxer,Working,Working
A695768,Miniature Poodle,Non-Sporting,Non-Sporting
A682900,Jack Russell Terrier Mix,Unknown,Mix
A671435,Chihuahua Shorthair Mix,Mix,Toy
A697766,German Shepherd Mix,Mix,Herding
A720466,Doberman Pinsch,Working,Working
A703750,Treeing Walker Coonhound Mix,Mix,Hound
A696236,Australian Cattle Dog/Labrador Retriever,Herding,Sporting
A670716,Australian Cattle Dog Mix,Mix,Herding
A673103,Yorkshire Terrier/Maltese,Toy,Toy
A688281,Rhod Ridgeback/Labrador Retriever,Sporting,Hound
A700948,Australian Cattle Dog/Chinese Sharpei,Non-Sporting,Herding
A689384,Labrador Retriever/Plott Hound,Sporting,Hound
A702935,Chihuahua Shorthair Mix,Mix,Toy
A680027,Pit Bull Mix,Mix,Pit Bull
A586222,Chihuahua Shorthair Mix,Mix,Toy
A675402,German Shepherd/Collie Rough,Herding,Herding
A715843,Labrador Retriever Mix,Mix,Sporting
A691568,Chihuahua Shorthair Mix,Mix,Toy
A681155,Labrador Retriever/Black Mouth Cur,Sporting,Herding
A702846,Chinese Sharpei/Airedale Terrier,Non-Sporting,Terrier
A718953,Dachshund/Chihuahua Shorthair,Toy,Hound
A668697,Cardigan Welsh Corgi Mix,Mix,Herding
A717656,Chihuahua Shorthair Mix,Mix,Toy
A663020,Chihuahua Shorthair Mix,Mix,Toy
A695093,Harrier,Hound,Hound
A670540,Miniature Poodle/Dachshund,Non-Sporting,Hound
A709799,Australian Kelpie Mix,Mix,Working
A711832,German Shepherd Mix,Mix,Herding
A719849,Labrador Retriever Mix,Mix,Sporting
A716898,Labrador Retriever Mix,Mix,Sporting
A666137,Harrier Mix,Mix,Hound
A693627,Anatol Shepherd,Mix,Herding
A717028,American Staffordshire Terrier Mix,Mix,Terrier
A561786,Basset Hound Mix,Mix,Hound
A694394,Miniature Schnauzer Mix,Mix,Terrier
A688254,Rottweiler Mix,Mix,Working
A710692,Mexican Hairless Mix,Unknown,Mix
A718492,Labrador Retriever Mix,Mix,Sporting
A689090,Redbone Hound Mix,Mix,Hound
A693761,Chihuahua Shorthair Mix,Mix,Toy
A593726,Afghan Hound Mix,Mix,Hound
A670643,Pointer Mix,Mix,Sporting
A682762,Pit Bull Mix,Mix,Pit Bull
A683352,Dachshund/Chihuahua Shorthair,Toy,Hound
A673275,Pit Bull Mix,Mix,Pit Bull
A679058,Labrador Retriever Mix,Mix,Sporting
A693059,Border Collie/Greyhound,Herding,Hound
A682578,Miniature Poodle Mix,Non-Sporting,Mix
A695371,Catahoula Mix,Mix,Herding
A707260,Swedish Vallhund Mix,Mix,Herding
A720615,Australian Kelpie Mix,Mix,Working
A666565,Pit Bull Mix,Mix,Pit Bull
A694848,Border Collie Mix,Mix,Herding
A673652,Papillon/Border Collie,Herding,Toy
A687252,Miniature Schnauzer/Miniature Poodle,Non-Sporting,Terrier
A717907,Labrador Retriever/German Shepherd,Sporting,Herding
A664945,Cocker Spaniel,Sporting,Sporting
A657904,Boxer Mix,Mix,Working
A670155,Border Collie Mix,Mix,Herding
A688226,Chihuahua Shorthair Mix,Mix,Toy
A535012,Chow Chow Mix,Non-Sporting,Mix
A683456,Labrador Retriever Mix,Mix,Sporting
A721025,Labrador Retriever Mix,Mix,Sporting
A683654,Pit Bull Mix,Mix,Pit Bull
A679384,Australian Shepherd Mix,Mix,Herding
A705433,Dachshund Mix,Mix,Hound
A683392,German Shepherd Mix,Mix,Herding
A690588,Blue Lacy Mix,Mix,Herding
A704672,Dachshund Wirehair/Miniature Poodle,Non-Sporting,Hound
A701434,Chihuahua Shorthair Mix,Mix,Toy
A695687,Miniature Schnauzer Mix,Mix,Terrier
A697554,English Pointer Mix,Unknown,Mix
A694674,Labrador Retriever/Australian Cattle Dog,Sporting,Herding
A664593,Chihuahua Shorthair Mix,Mix,Toy
A705519,German Shepherd/Chow Chow,Non-Sporting,Herding
A689744,Miniature Schnauzer Mix,Mix,Terrier
A676154,Pit Bull/Weimaraner,Pit Bull,Sporting
A713410,Yorkshire Terrier Mix,Mix,Toy
A700056,Pit Bull Mix,Mix,Pit Bull
A689897,Australian Kelpie Mix,Mix,Working
A687423,Queensland Heeler Mix,Mix,Herding
A694865,Yorkshire Terrier/Chihuahua Shorthair,Toy,Toy
A718299,Pit Bull Mix,Mix,Pit Bull
A680305,Australian Kelpie Mix,Mix,Working
A642711,Pit Bull Mix,Mix,Pit Bull
A665445,Labrador Retriever Mix,Mix,Sporting
A675416,West Highland/Chihuahua Shorthair,Unknown,Toy
A666731,Labrador Retriever Mix,Mix,Sporting
A688594,Chihuahua Shorthair Mix,Mix,Toy
A690256,Pit Bull Mix,Mix,Pit Bull
A711134,Dachshund Mix,Mix,Hound
A708817,Pointer Mix,Mix,Sporting
A478579,Chow Chow Mix,Non-Sporting,Mix
A705521,Border Collie/German Shepherd,Herding,Herding
A612816,Dogo Argentino Mix,Unknown,Mix
A683518,Chihuahua Shorthair Mix,Mix,Toy
A680524,Pit Bull Mix,Mix,Pit Bull
A717718,Great Pyrenees Mix,Mix,Working
A699353,Boxer/Australian Cattle Dog,Herding,Working
A654355,German Shepherd Mix,Mix,Herding
A709479,Basset Hound Mix,Mix,Hound
A691032,Shiba Inu Mix,Non-Sporting,Mix
A693693,Pit Bull Mix,Mix,Pit Bull
A679552,Plott Hound Mix,Mix,Hound
A668484,Chihuahua Shorthair Mix,Mix,Toy
A681407,Beauceron Mix,Mix,Herding
A605352,Chinese Sharpei Mix,Non-Sporting,Mix
A690290,Chihuahua Shorthair Mix,Mix,Toy
A676191,Pekingese Mix,Mix,Toy
A697174,Anatol Shepherd Mix,Mix,Herding
A522809,Catahoula/Pit Bull,Herding,Pit Bull
A671257,Rat Terrier Mix,Mix,Terrier
A670629,Pit Bull Mix,Mix,Pit Bull
A686684,Shih Tzu Mix,Mix,Toy
A449107,Labrador Retriever Mix,Mix,Sporting
A720432,Schipperke Mix,Non-Sporting,Mix
A720442,Pointer/Boxer,Sporting,Working
A672337,Labrador Retriever/Standard Poodle,Non-Sporting,Sporting
A708716,Rottweiler Mix,Mix,Working
A717099,Australian Cattle Dog Mix,Mix,Herding
A489376,Boxer Mix,Mix,Working
A694544,Chihuahua Shorthair Mix,Mix,Toy
A677576,Chihuahua Shorthair Mix,Mix,Toy
A689653,German Shepherd/Bull Terrier,Herding,Terrier
A712959,Miniature Pinscher/Pomeranian,Toy,Toy
A644525,Labrador Retriever Mix,Mix,Sporting
A677236,Beagle Mix,Mix,Hound
A704432,Chihuahua Shorthair/Pit Bull,Pit Bull,Toy
A698794,Pit Bull Mix,Mix,Pit Bull
A271790,Harrier Mix,Mix,Hound
A682106,Australian Cattle Dog Mix,Mix,Herding
A667035,Rat Terrier Mix,Mix,Terrier
A698029,Doberman Pinsch,Working,Working
A701199,Chihuahua Shorthair Mix,Mix,Toy
A711920,Labrador Retriever Mix,Mix,Sporting
A718991,Miniature Poodle Mix,Non-Sporting,Mix
A682501,Redbone Hound/Anatol Shepherd,Mix,Herding
A714741,Chihuahua Shorthair Mix,Mix,Toy
A676304,Pit Bull Mix,Mix,Pit Bull
A669888,Pit Bull Mix,Mix,Pit Bull
A719294,Pit Bull Mix,Mix,Pit Bull
A692374,German Shepherd/Labrador Retriever,Herding,Sporting
A665213,Labrador Retriever,Sporting,Sporting
A706951,Pit Bull Mix,Mix,Pit Bull
A694012,Labrador Retriever Mix,Mix,Sporting
A664116,Australian Shepherd/Australian Cattle Dog,Herding,Herding
A672395,Boxer/Chow Chow,Non-Sporting,Working
A705677,Dogo Argentino Mix,Unknown,Mix
A521273,Chow Chow/Australian Kelpie,Non-Sporting,Working
A679098,Pit Bull Mix,Mix,Pit Bull
A649782,Pit Bull Mix,Mix,Pit Bull
A661384,Labrador Retriever Mix,Mix,Sporting
A693077,Pit Bull Mix,Mix,Pit Bull
A682994,Chihuahua Shorthair Mix,Mix,Toy
A665279,Dachshund Mix,Mix,Hound
A708871,Labrador Retriever/Chinese Sharpei,Non-Sporting,Sporting
A695323,Chihuahua Shorthair Mix,Mix,Toy
A684585,Great Pyrenees/Border Collie,Herding,Working
A670417,Catahoula Mix,Mix,Herding
A686558,American Pit Bull Terrier Mix,Unknown,Mix
A715965,Pit Bull Mix,Mix,Pit Bull
A669406,Chihuahua Shorthair Mix,Mix,Toy
A673234,Chihuahua Shorthair Mix,Mix,Toy
A640778,Jack Russell Terrier Mix,Unknown,Mix
A697529,Catahoula Mix,Mix,Herding
A712616,Whippet/Chihuahua Shorthair,Toy,Hound
A713318,Tibetan Terrier Mix,Non-Sporting,Mix
A709953,American Pit Bull Terrier Mix,Unknown,Mix
A669208,Chihuahua Shorthair Mix,Mix,Toy
A640789,Labrador Retriever Mix,Mix,Sporting
A700861,Labrador Retriever Mix,Mix,Sporting
A694584,Pit Bull Mix,Mix,Pit Bull
A705192,Border Collie,Herding,Herding
A697260,Labrador Retriever Mix,Mix,Sporting
A678131,Jack Russell Terrier/Australian Cattle Dog,Unknown,Herding
A668898,Dachshund Mix,Mix,Hound
A622844,Jack Russell Terrier/Australian Cattle Dog,Unknown,Herding
A681814,Catahoula/Australian Shepherd,Herding,Herding
A683148,Labrador Retriever Mix,Mix,Sporting
A625640,Collie Rough Mix,Mix,Herding
A694070,Staffordshire Mix,Mix,Terrier
A667732,Silky Terrier Mix,Mix,Toy
A668353,Bruss Griffon Mix,Unknown,Mix
A676996,Jack Russell Terrier Mix,Unknown,Mix
A627488,Chihuahua Shorthair Mix,Mix,Toy
A717663,Siberian Husky Mix,Mix,Working
A503376,Siberian Husky Mix,Mix,Working
A690375,Pit Bull Mix,Mix,Pit Bull
A716821,Chihuahua Shorthair Mix,Mix,Toy
A720081,Labrador Retriever Mix,Mix,Sporting
A669506,Beagle Mix,Mix,Hound
A669449,Vizsla,Sporting,Sporting
A671155,Staffordshire Mix,Mix,Terrier
A696045,German Shepherd,Herding,Herding
A695583,Boxer Mix,Mix,Working
A681018,Shih Tzu Mix,Mix,Toy
A679408,Chihuahua Shorthair Mix,Mix,Toy
A694393,Australian Shepherd Mix,Mix,Herding
A689603,Miniature Pinscher/Chihuahua Shorthair,Toy,Toy
A666197,Pit Bull Mix,Mix,Pit Bull
A665421,Miniature Poodle Mix,Non-Sporting,Mix
A670405,Chihuahua Shorthair Mix,Mix,Toy
A701522,Rat Terrier Mix,Mix,Terrier
A709394,Chihuahua Shorthair Mix,Mix,Toy
A698919,Chihuahua Shorthair Mix,Mix,Toy
A671558,Pit Bull Mix,Mix,Pit Bull
A716379,Pit Bull Mix,Mix,Pit Bull
A699795,Shih Tzu,Toy,Toy
A715241,Chihuahua Shorthair Mix,Mix,Toy
A665137,Pit Bull Mix,Mix,Pit Bull
A682889,Chihuahua Shorthair Mix,Mix,Toy
A679240,Beagle/Pug,Toy,Hound
A671950,Chihuahua Longhair Mix,Mix,Toy
A669264,Border Terrier/Yorkshire Terrier,Toy,Terrier
A691815,Pug/Beagle,Hound,Toy
A595090,Boerboel Mix,Mix,Working
A630814,Golden Retriever Mix,Mix,Sporting
A699826,Shih Tzu,Toy,Toy
A692750,Doberman Pinsch/Vizsla,Sporting,Working
A676542,Jack Russell Terrier Mix,Unknown,Mix
A294132,Australian Shepherd Mix,Mix,Herding
A697387,Jack Russell Terrier Mix,Unknown,Mix
A681575,Labrador Retriever/Blue Lacy,Sporting,Herding
A700103,Rat Terrier Mix,Mix,Terrier
A715026,Pit Bull Mix,Mix,Pit Bull
A673061,Bichon Frise Mix,Unknown,Mix
A678766,Labrador Retriever,Sporting,Sporting
A676528,Border Collie Mix,Mix,Herding
A702777,Cairn Terrier Mix,Mix,Terrier
A716397,German Shepherd/Akita,Herding,Working
A689021,Miniature Pinscher Mix,Mix,Toy
A594497,Miniature Poodle Mix,Non-Sporting,Mix
A691804,Pit Bull/Blue Lacy,Pit Bull,Herding
A710894,Labrador Retriever Mix,Mix,Sporting
A665132,Pointer Mix,Mix,Sporting
A611034,Pit Bull Mix,Mix,Pit Bull
A650853,Yorkshire Terrier/Miniature Poodle,Non-Sporting,Toy
A670542,Pit Bull Mix,Mix,Pit Bull
A676031,Chihuahua Shorthair Mix,Mix,Toy
A699435,Pointer/Collie Smooth,Sporting,Herding
A704529,Pit Bull Mix,Mix,Pit Bull
A688945,Miniature Poodle/Miniature Schnauzer,Non-Sporting,Terrier
A694537,Yorkshire Terrier,Toy,Toy
A673252,Chihuahua Shorthair Mix,Mix,Toy
A691240,Catahoula Mix,Mix,Herding
A688826,Border Collie Mix,Mix,Herding
A691863,Chihuahua Shorthair Mix,Mix,Toy
A671426,American Staffordshire Terrier/Labrador Retriever,Sporting,Terrier
A674729,Manchester Terrier Mix,Mix,Terrier
A683992,Chihuahua Longhair Mix,Mix,Toy
